sample_id	input_cram	input_crai
20482	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7WCDSXX_3_20482.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7WCDSXX_3_20482.cram.crai
20483	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20483.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20483.cram.crai
20484	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7WCDSXX_3_20484.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7WCDSXX_3_20484.cram.crai
20485	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7WCDSXX_3_20485.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7WCDSXX_3_20485.cram.crai
20542	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20542.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20542.cram.crai
20543	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20543.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20543.cram.crai
20550	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20550.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20550.cram.crai
20551	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7WCDSXX_3_20551.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7WCDSXX_3_20551.cram.crai
20552	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_3_20552.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_3_20552.cram.crai
20565	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20565.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20565.cram.crai
20589	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20589.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20589.cram.crai
20591	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20591.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20591.cram.crai
20593	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20593.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20593.cram.crai
20594	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20594.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20594.cram.crai
20595	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20595.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20595.cram.crai
20623	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20623.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20623.cram.crai
20624	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20624.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20624.cram.crai
20638	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_3_20638.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_3_20638.cram.crai
20658	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20658.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20658.cram.crai
20668	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20668.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20668.cram.crai
20669	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20669.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20669.cram.crai
20670	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20670.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20670.cram.crai
20671	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20671.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20671.cram.crai
20690	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20690.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20690.cram.crai
20691	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20691.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20691.cram.crai
20692	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20692.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20692.cram.crai
20693	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20693.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20693.cram.crai
20694	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20694.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20694.cram.crai
20695	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20695.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20695.cram.crai
20711	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20711.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20711.cram.crai
20749	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20749.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20749.cram.crai
20750	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20750.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20750.cram.crai
20793	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20793.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20793.cram.crai
20794	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20794.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20794.cram.crai
20796	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20796.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20796.cram.crai
20797	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HWC3KDSXX_1_20797.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HWC3KDSXX_1_20797.cram.crai
20880	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20880.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20880.cram.crai
20943	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20943.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20943.cram.crai
20944	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20944.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20944.cram.crai
20945	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20945.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20945.cram.crai
20946	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HWC3KDSXX_1_20946.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HWC3KDSXX_1_20946.cram.crai
20947	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20947.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_20947.cram.crai
20964	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20964.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_20964.cram.crai
21010	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_21010.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_21010.cram.crai
21011	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_21011.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_21011.cram.crai
21012	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_21012.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HVTHVDSXX_4_21012.cram.crai
21013	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_21013.cram	/paella/CRAMPipeline/projects/Glucoma/batch01/crams/HT7HLDSXX_4_21013.cram.crai
